criterion_id	label	criterion_type	resource_type	code_system	code_selector_type	code_selector	code_match	component_code_system	component_code	operator	value_low	value_high	lower_inclusive	upper_inclusive	unit_system	unit_code	unit_display	unit_snomed_code	accepted_statuses	time_aspect_system	time_aspect_code	aggregation_system	aggregation_code	min_occurrences	distinct_by	context_source	context_key	context_operator	context_value	missing_data_behavior	notes
HTN_CLINIC_SYS_140_TO_LT_180	Clinic systolic blood pressure from 140 to below 180 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	75367002	exact	http://snomed.info/sct	271649006	between	140	180	true	false	http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected					1						UNKNOWN	Upper bound is modelled as exclusive to keep severe hypertension at or above 180 mmHg outside this suspected-hypertension rule. Confirm this interpretation with the guideline authors.
HTN_CLINIC_DIA_90_TO_LT_120	Clinic diastolic blood pressure from 90 to below 120 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	75367002	exact	http://snomed.info/sct	271650006	between	90	120	true	false	http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected					1						UNKNOWN	Upper bound is modelled as exclusive to keep severe hypertension at or above 120 mmHg outside this suspected-hypertension rule. Confirm this interpretation with the guideline authors.
HTN_ABPM_24H_AVG_SYS_GE_130	24-hour ABPM average systolic blood pressure at or above 130 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	164783007	exact	http://snomed.info/sct	271649006	ge	130		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected	http://snomed.info/sct	255250005	http://snomed.info/sct	373098007	1						UNKNOWN	Observation code, component, 24-hour time aspect, aggregation, value, and unit must all apply to the same Observation.
HTN_ABPM_24H_AVG_DIA_GE_80	24-hour ABPM average diastolic blood pressure at or above 80 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	164783007	exact	http://snomed.info/sct	271650006	ge	80		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected	http://snomed.info/sct	255250005	http://snomed.info/sct	373098007	1						UNKNOWN	Observation code, component, 24-hour time aspect, aggregation, value, and unit must all apply to the same Observation.
HTN_HBPM_AVG_SYS_GE_135	Home blood pressure monitoring average systolic pressure at or above 135 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	413153004	exact	http://snomed.info/sct	271649006	ge	135		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected			http://snomed.info/sct	373098007	1						UNKNOWN	Assumes the EHR supplies a validated HBPM average. Raw-reading aggregation is outside the first demonstrator scope.
HTN_HBPM_AVG_DIA_GE_85	Home blood pressure monitoring average diastolic pressure at or above 85 mmHg	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	413153004	exact	http://snomed.info/sct	271650006	ge	85		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected			http://snomed.info/sct	373098007	1						UNKNOWN	Assumes the EHR supplies a validated HBPM average. Raw-reading aggregation is outside the first demonstrator scope.
HTN_CLINIC_SYS_GE_140_TWO_VISITS	Clinic systolic blood pressure at or above 140 mmHg on at least two separate days	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	75367002	exact	http://snomed.info/sct	271649006	ge	140		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected					2	calendar_day					UNKNOWN	Requires at least two qualifying Observations on distinct calendar days. Encounter linkage is not required, since many systems do not link observations to encounters.
HTN_CLINIC_DIA_GE_90_TWO_VISITS	Clinic diastolic blood pressure at or above 90 mmHg on at least two separate days	OBSERVATION_COMPONENT_VALUE	Observation	http://snomed.info/sct	code	75367002	exact	http://snomed.info/sct	271650006	ge	90		true		http://unitsofmeasure.org	mm[Hg]	mmHg	259018001	final|amended|corrected					2	calendar_day					UNKNOWN	Requires at least two qualifying Observations on distinct calendar days. Encounter linkage is not required, since many systems do not link observations to encounters.
HTN_ABPM_HBPM_UNAVAILABLE_OR_IMPRACTICAL	ABPM and HBPM are both unavailable or impractical	CONTEXT_VALUE								eq																CDS_HOOK_CONTEXT	abpmHbpUnavailableOrImpractical	eq	true	UNKNOWN	Must be supplied explicitly by the CDS client. It must not be inferred from the absence of ABPM or HBPM Observations.
